func_ov070_0213efc0 kind:function(arm,size=0x110) addr:0x0213efc0
data_ov070_0214dd4c kind:data(any) addr:0x0214dd4c
data_ov070_0214dd64 kind:data(any) addr:0x0214dd64
data_ov070_0214dd74 kind:data(any) addr:0x0214dd74
data_ov070_0214dd84 kind:data(any) addr:0x0214dd84
data_ov070_0214dd98 kind:data(any) addr:0x0214dd98
data_ov070_0214dda8 kind:data(any) addr:0x0214dda8
data_ov070_0214ddc0 kind:data(any) addr:0x0214ddc0
data_ov070_0214ddd0 kind:data(any) addr:0x0214ddd0
__sinit_ActorUnkENGE.cpp kind:function(arm,size=0x50) addr:0x0214ddd8
__sinit_ActorUnkALEV.cpp kind:function(arm,size=0x50) addr:0x0214de28
__sinit_ActorUnkBROW.cpp kind:function(arm,size=0x50) addr:0x0214de78
__sinit_ActorUnkKEYN.cpp kind:function(arm,size=0x5c) addr:0x0214dec8
__sinit_ActorUnkLIRA.cpp kind:function(arm,size=0x5c) addr:0x0214df24
__sinit_ActorUnkBMHN.cpp kind:function(arm,size=0x50) addr:0x0214df80
__sinit_ActorUnkSWDS.cpp kind:function(arm,size=0x50) addr:0x0214dfd0
__sinit_ActorUnkRCSG.cpp kind:function(arm,size=0x50) addr:0x0214e020
__sinit_MapObjectUnkBLCK.cpp kind:function(arm,size=0x50) addr:0x0214e070
__sinit_MapObjectUnkFLSP.cpp kind:function(arm,size=0xd4) addr:0x0214e0c0
__sinit_MapObjectUnkFSPS.cpp kind:function(arm,size=0x50) addr:0x0214e194
__sinit_MapObjectUnkBLRB.cpp kind:function(arm,size=0x74) addr:0x0214e1e4
__sinit_MapObjectUnkSWRB.cpp kind:function(arm,size=0x50) addr:0x0214e258
__sinit_MapObjectUnkARWL.cpp kind:function(arm,size=0x50) addr:0x0214e2a8
__sinit_MapObjectUnkSWWN.cpp kind:function(arm,size=0x50) addr:0x0214e2f8
__sinit_MapObjectUnkSWEY.cpp kind:function(arm,size=0x50) addr:0x0214e348
__sinit_ActorUnkTRAP.cpp kind:function(arm,size=0x50) addr:0x0214e398
__sinit_MapObjectUnkDRST.cpp kind:function(arm,size=0x64) addr:0x0214e3e8
__sinit_MapObjectUnkFRWL.cpp kind:function(arm,size=0x5c) addr:0x0214e44c
__sinit_MapObjectUnkSTSH.cpp kind:function(arm,size=0x9c) addr:0x0214e4a8
__sinit_MapObjectUnkTRLS.cpp kind:function(arm,size=0x70) addr:0x0214e544
__sinit_MapObjectUnkTRLD.cpp kind:function(arm,size=0x70) addr:0x0214e5b4
__sinit_MapObjectUnkTRLW.cpp kind:function(arm,size=0x70) addr:0x0214e624
__sinit_MapObjectUnkPTFL.cpp kind:function(arm,size=0x5c) addr:0x0214e694
__sinit_ActorUnkRYAW.cpp kind:function(arm,size=0x6c) addr:0x0214e6f0
.p__sinit_ActorUnkENGE.cpp kind:data(word) addr:0x0214e75c
.p__sinit_ActorUnkALEV.cpp kind:data(word) addr:0x0214e760
.p__sinit_ActorUnkBROW.cpp kind:data(word) addr:0x0214e764
.p__sinit_ActorUnkKEYN.cpp kind:data(word) addr:0x0214e768
.p__sinit_ActorUnkLIRA.cpp kind:data(word) addr:0x0214e76c
.p__sinit_ActorUnkBMHN.cpp kind:data(word) addr:0x0214e770
.p__sinit_ActorUnkSWDS.cpp kind:data(word) addr:0x0214e774
.p__sinit_ActorUnkRCSG.cpp kind:data(word) addr:0x0214e778
.p__sinit_MapObjectUnkBLCK.cpp kind:data(word) addr:0x0214e77c
.p__sinit_MapObjectUnkFLSP.cpp kind:data(word) addr:0x0214e780
.p__sinit_MapObjectUnkFSPS.cpp kind:data(word) addr:0x0214e784
.p__sinit_MapObjectUnkBLRB.cpp kind:data(word) addr:0x0214e788
.p__sinit_MapObjectUnkSWRB.cpp kind:data(word) addr:0x0214e78c
.p__sinit_MapObjectUnkARWL.cpp kind:data(word) addr:0x0214e790
.p__sinit_MapObjectUnkSWWN.cpp kind:data(word) addr:0x0214e794
.p__sinit_MapObjectUnkSWEY.cpp kind:data(word) addr:0x0214e798
.p__sinit_ActorUnkTRAP.cpp kind:data(word) addr:0x0214e79c
.p__sinit_MapObjectUnkDRST.cpp kind:data(word) addr:0x0214e7a0
.p__sinit_MapObjectUnkFRWL.cpp kind:data(word) addr:0x0214e7a4
.p__sinit_MapObjectUnkSTSH.cpp kind:data(word) addr:0x0214e7a8
.p__sinit_MapObjectUnkTRLS.cpp kind:data(word) addr:0x0214e7ac
.p__sinit_MapObjectUnkTRLD.cpp kind:data(word) addr:0x0214e7b0
.p__sinit_MapObjectUnkTRLW.cpp kind:data(word) addr:0x0214e7b4
.p__sinit_MapObjectUnkPTFL.cpp kind:data(word) addr:0x0214e7b8
.p__sinit_ActorUnkRYAW.cpp kind:data(word) addr:0x0214e7bc
data_ov070_0214e7e8 kind:data(any) addr:0x0214e7e8
_ZTV19data_ov070_0214e7fc kind:data(any) addr:0x0214e7fc
_ZTV19data_ov070_0214e820 kind:data(any) addr:0x0214e820
_ZTV19data_ov070_0214e850 kind:data(any) addr:0x0214e850 ambiguous
_ZTV19data_ov070_0214e87c kind:data(any) addr:0x0214e87c
_ZTV19data_ov070_0214e8a0 kind:data(any) addr:0x0214e8a0
data_ov070_0214e904 kind:data(any) addr:0x0214e904
data_ov070_0214e918 kind:data(any) addr:0x0214e918
_ZTV19data_ov070_0214e92c kind:data(any) addr:0x0214e92c
data_ov070_0214e994 kind:data(any) addr:0x0214e994
data_ov070_0214e9a0 kind:data(any) addr:0x0214e9a0
data_ov070_0214e9b4 kind:data(any) addr:0x0214e9b4
_ZTV19data_ov070_0214e9c8 kind:data(any) addr:0x0214e9c8
data_ov070_0214e9f4 kind:data(any) addr:0x0214e9f4
_ZTV19data_ov070_0214ea14 kind:data(any) addr:0x0214ea14
data_ov070_0214ea70 kind:data(any) addr:0x0214ea70 ambiguous
data_ov070_0214ea78 kind:data(any) addr:0x0214ea78
data_ov070_0214ea94 kind:data(any) addr:0x0214ea94
data_ov070_0214eabc kind:data(any) addr:0x0214eabc
_ZTV19data_ov070_0214eacc kind:data(any) addr:0x0214eacc
_ZTV19data_ov070_0214eaf0 kind:data(any) addr:0x0214eaf0
data_ov070_0214eb4c kind:data(any) addr:0x0214eb4c
data_ov070_0214eb54 kind:data(any) addr:0x0214eb54
data_ov070_0214eb5c kind:data(any) addr:0x0214eb5c
data_ov070_0214eb64 kind:data(any) addr:0x0214eb64
data_ov070_0214eb6c kind:data(any) addr:0x0214eb6c
data_ov070_0214eb74 kind:data(any) addr:0x0214eb74
data_ov070_0214eb7c kind:data(any) addr:0x0214eb7c
data_ov070_0214eb84 kind:data(any) addr:0x0214eb84
data_ov070_0214eb8c kind:data(any) addr:0x0214eb8c
data_ov070_0214eb94 kind:data(any) addr:0x0214eb94
data_ov070_0214eba4 kind:data(any) addr:0x0214eba4
_ZTV19data_ov070_0214ebb0 kind:data(any) addr:0x0214ebb0
data_ov070_0214ebdc kind:data(any) addr:0x0214ebdc
data_ov070_0214ebf8 kind:data(any) addr:0x0214ebf8
data_ov070_0214ec28 kind:data(any) addr:0x0214ec28
_ZTV19data_ov070_0214ec58 kind:data(any) addr:0x0214ec58
_ZTV19data_ov070_0214ecb4 kind:data(any) addr:0x0214ecb4
_ZTV19data_ov070_0214ecd8 kind:data(any) addr:0x0214ecd8
_ZTV19data_ov070_0214ed34 kind:data(any) addr:0x0214ed34
_ZTV19data_ov070_0214ed58 kind:data(any) addr:0x0214ed58
_ZTV19data_ov070_0214edb4 kind:data(any) addr:0x0214edb4
_ZTV19data_ov070_0214edd8 kind:data(any) addr:0x0214edd8
data_ov070_0214ee48 kind:data(any) addr:0x0214ee48
data_ov070_0214ee5c kind:data(any) addr:0x0214ee5c
data_ov070_0214ee84 kind:data(any) addr:0x0214ee84
data_ov070_0214eec4 kind:data(any) addr:0x0214eec4
data_ov070_0214eee0 kind:data(any) addr:0x0214eee0
data_ov070_0214eef4 kind:data(any) addr:0x0214eef4
data_ov070_0214ef00 kind:data(any) addr:0x0214ef00
data_ov070_0214ef0c kind:data(any) addr:0x0214ef0c
data_ov070_0214ef20 kind:data(any) addr:0x0214ef20
data_ov070_0214ef4c kind:data(any) addr:0x0214ef4c
data_ov070_0214ef94 kind:data(any) addr:0x0214ef94
data_ov070_0214efb0 kind:data(any) addr:0x0214efb0
data_ov070_0214eff8 kind:data(any) addr:0x0214eff8
data_ov070_0214f014 kind:data(any) addr:0x0214f014
data_ov070_0214f040 kind:data(any) addr:0x0214f040
data_ov070_0214f064 kind:data(any) addr:0x0214f064 ambiguous
data_ov070_0214f080 kind:data(any) addr:0x0214f080
data_ov070_0214f09c kind:data(any) addr:0x0214f09c
data_ov070_0214f0b8 kind:data(any) addr:0x0214f0b8
data_ov070_0214f0e0 kind:data(any) addr:0x0214f0e0
data_ov070_0214f120 kind:data(any) addr:0x0214f120
data_ov070_0214f134 kind:data(any) addr:0x0214f134
data_ov070_0214f150 kind:data(any) addr:0x0214f150
data_ov070_0214f190 kind:data(any) addr:0x0214f190
data_ov070_0214f1ac kind:data(any) addr:0x0214f1ac
data_ov070_0214f1d8 kind:data(any) addr:0x0214f1d8
data_ov070_0214f218 kind:data(any) addr:0x0214f218
data_ov070_0214f234 kind:data(any) addr:0x0214f234
data_ov070_0214f274 kind:data(any) addr:0x0214f274
_ZTV19data_ov070_0214f288 kind:data(any) addr:0x0214f288
data_ov070_0214f2ac kind:data(any) addr:0x0214f2ac
data_ov070_0214f2ec kind:data(any) addr:0x0214f2ec
_ZTV19data_ov070_0214f32c kind:data(any) addr:0x0214f32c
data_ov070_0214f38c kind:data(any) addr:0x0214f38c
data_ov070_0214f398 kind:data(any) addr:0x0214f398
data_ov070_0214f3b4 kind:data(any) addr:0x0214f3b4
data_ov070_0214f44c kind:data(any) addr:0x0214f44c
data_ov070_0214f464 kind:data(any) addr:0x0214f464
data_ov070_0214f480 kind:data(any) addr:0x0214f480
data_ov070_0214f4c0 kind:data(any) addr:0x0214f4c0
data_ov070_0214f4d4 kind:data(any) addr:0x0214f4d4
data_ov070_0214f4e0 kind:data(any) addr:0x0214f4e0
data_ov070_0214f4ec kind:data(any) addr:0x0214f4ec
data_ov070_0214f500 kind:data(any) addr:0x0214f500
data_ov070_0214f570 kind:data(any) addr:0x0214f570
data_ov070_0214f580 kind:data(any) addr:0x0214f580
data_ov070_0214f590 kind:data(any) addr:0x0214f590
data_ov070_0214f5ac kind:data(any) addr:0x0214f5ac
data_ov070_0214f600 kind:data(any) addr:0x0214f600
data_ov070_0214f610 kind:data(any) addr:0x0214f610
data_ov070_0214f62c kind:data(any) addr:0x0214f62c
data_ov070_0214f640 kind:data(any) addr:0x0214f640 ambiguous
data_ov070_0214f680 kind:data(any) addr:0x0214f680
data_ov070_0214f690 kind:data(any) addr:0x0214f690
data_ov070_0214f6ac kind:data(any) addr:0x0214f6ac
data_ov070_0214f6c0 kind:data(any) addr:0x0214f6c0 ambiguous
data_ov070_0214f708 kind:data(any) addr:0x0214f708
data_ov070_0214f724 kind:data(any) addr:0x0214f724
data_ov070_0214f740 kind:data(any) addr:0x0214f740
data_ov070_0214f748 kind:data(any) addr:0x0214f748 ambiguous
data_ov070_0214f750 kind:data(any) addr:0x0214f750 ambiguous
data_ov070_0214f780 kind:data(any) addr:0x0214f780
data_ov070_0214f790 kind:data(any) addr:0x0214f790
data_ov070_0214f7a0 kind:data(any) addr:0x0214f7a0 ambiguous
data_ov070_0214f7ac kind:data(any) addr:0x0214f7ac
_ZTV19data_ov070_0214f7c0 kind:data(any) addr:0x0214f7c0
_ZTV19data_ov070_0214f7e4 kind:data(any) addr:0x0214f7e4
data_ov070_0214f860 kind:bss addr:0x0214f860
data_ov070_0214f864 kind:bss addr:0x0214f864
sActorProfileUnkENGE kind:bss addr:0x0214f870
data_ov070_0214f8ac kind:bss addr:0x0214f8ac
data_ov070_0214f8b0 kind:bss addr:0x0214f8b0
sActorProfileUnkALEV kind:bss addr:0x0214f8bc
data_ov070_0214f8ec kind:bss addr:0x0214f8ec ambiguous
data_ov070_0214f8f8 kind:bss addr:0x0214f8f8
data_ov070_0214f8fc kind:bss addr:0x0214f8fc
sActorProfileUnkBROW kind:bss addr:0x0214f908
data_ov070_0214f9e0 kind:bss addr:0x0214f9e0
data_ov070_0214f9e4 kind:bss addr:0x0214f9e4
data_ov070_0214f9e8 kind:bss addr:0x0214f9e8
data_ov070_0214f9f4 kind:bss addr:0x0214f9f4
sActorProfileUnkKEYN kind:bss addr:0x0214fa00
data_ov070_0214fad8 kind:bss addr:0x0214fad8
data_ov070_0214fadc kind:bss addr:0x0214fadc
data_ov070_0214fae8 kind:bss addr:0x0214fae8
sActorProfileUnkLIRA kind:bss addr:0x0214faf4
data_ov070_0214fbcc kind:bss addr:0x0214fbcc
data_ov070_0214fbf0 kind:bss addr:0x0214fbf0
data_ov070_0214fc7c kind:bss addr:0x0214fc7c ambiguous
data_ov070_0214fc90 kind:bss addr:0x0214fc90 ambiguous
data_ov070_0214fcc0 kind:bss addr:0x0214fcc0
data_ov070_0214fcc4 kind:bss addr:0x0214fcc4
sActorProfileUnkBMHN kind:bss addr:0x0214fcd0
data_ov070_0214fd0c kind:bss addr:0x0214fd0c
data_ov070_0214fd10 kind:bss addr:0x0214fd10
data_ov070_0214fd18 kind:bss addr:0x0214fd18 ambiguous
sActorProfileUnkSWDS kind:bss addr:0x0214fd1c
data_ov070_0214fd58 kind:bss addr:0x0214fd58
data_ov070_0214fd5c kind:bss addr:0x0214fd5c
sActorProfileUnkRCSG kind:bss addr:0x0214fd68
data_ov070_0214fda4 kind:bss addr:0x0214fda4
data_ov070_0214fda8 kind:bss addr:0x0214fda8
sMapObjectProfileUnkBLCK kind:bss addr:0x0214fdb4
data_ov070_0214fdd4 kind:bss addr:0x0214fdd4
data_ov070_0214fe1c kind:bss addr:0x0214fe1c
data_ov070_0214fe20 kind:bss addr:0x0214fe20
data_ov070_0214fe2c kind:bss addr:0x0214fe2c
data_ov070_0214fe38 kind:bss addr:0x0214fe38
sMapObjectProfileUnkFLSP kind:bss addr:0x0214fe44
data_ov070_0214fed0 kind:bss addr:0x0214fed0 ambiguous
data_ov070_0214ff18 kind:bss addr:0x0214ff18
data_ov070_0214ff3c kind:bss addr:0x0214ff3c
data_ov070_0214ff40 kind:bss addr:0x0214ff40
sMapObjectProfileUnkFSPS kind:bss addr:0x0214ff4c
data_ov070_02150020 kind:bss addr:0x02150020
data_ov070_02150044 kind:bss addr:0x02150044
data_ov070_02150048 kind:bss addr:0x02150048
data_ov070_02150054 kind:bss addr:0x02150054
sMapObjectProfileUnkBLRB kind:bss addr:0x02150084
data_ov070_02150158 kind:bss addr:0x02150158
data_ov070_0215017c kind:bss addr:0x0215017c
data_ov070_02150180 kind:bss addr:0x02150180
sMapObjectProfileUnkSWRB kind:bss addr:0x0215018c
data_ov070_021501ac kind:bss addr:0x021501ac
data_ov070_02150260 kind:bss addr:0x02150260
data_ov070_02150280 kind:bss addr:0x02150280
data_ov070_02150284 kind:bss addr:0x02150284
sMapObjectProfileUnkARWL kind:bss addr:0x02150290
data_ov070_02150364 kind:bss addr:0x02150364
data_ov070_02150388 kind:bss addr:0x02150388
data_ov070_0215038c kind:bss addr:0x0215038c
sMapObjectProfileUnkSWWN kind:bss addr:0x02150398
data_ov070_0215046c kind:bss addr:0x0215046c
data_ov070_02150490 kind:bss addr:0x02150490
data_ov070_02150494 kind:bss addr:0x02150494
sMapObjectProfileUnkSWEY kind:bss addr:0x021504a0
data_ov070_021504c0 kind:bss addr:0x021504c0
data_ov070_02150574 kind:bss addr:0x02150574
data_ov070_02150594 kind:bss addr:0x02150594
data_ov070_02150598 kind:bss addr:0x02150598
sActorProfileUnkTRAP kind:bss addr:0x021505a4
data_ov070_0215067c kind:bss addr:0x0215067c
data_ov070_02150680 kind:bss addr:0x02150680
sMapObjectProfileUnkDRST kind:bss addr:0x0215068c
data_ov070_02150760 kind:bss addr:0x02150760
data_ov070_02150764 kind:bss addr:0x02150764
data_ov070_02150770 kind:bss addr:0x02150770
sMapObjectProfileUnkFRWL kind:bss addr:0x0215077c
data_ov070_02150850 kind:bss addr:0x02150850
data_ov070_02150874 kind:bss addr:0x02150874
data_ov070_02150878 kind:bss addr:0x02150878
sMapObjectProfileUnkSTSH kind:bss addr:0x02150884
data_ov070_02150958 kind:bss addr:0x02150958
data_ov070_0215095c kind:bss addr:0x0215095c
sMapObjectProfileUnkTRLS kind:bss addr:0x02150968
data_ov070_021509a4 kind:bss addr:0x021509a4 ambiguous
data_ov070_02150a3c kind:bss addr:0x02150a3c
data_ov070_02150a40 kind:bss addr:0x02150a40
sMapObjectProfileUnkTRLD kind:bss addr:0x02150a4c
data_ov070_02150a70 kind:bss addr:0x02150a70
data_ov070_02150a74 kind:bss addr:0x02150a74
sMapObjectProfileUnkTRLW kind:bss addr:0x02150a80
data_ov070_02150aa4 kind:bss addr:0x02150aa4
data_ov070_02150aa8 kind:bss addr:0x02150aa8
data_ov070_02150ab4 kind:bss addr:0x02150ab4
sMapObjectProfileUnkPTFL kind:bss addr:0x02150ac0
data_ov070_02150ae0 kind:bss addr:0x02150ae0
data_ov070_02150b04 kind:bss addr:0x02150b04
data_ov070_02150b08 kind:bss addr:0x02150b08
data_ov070_02150b14 kind:bss addr:0x02150b14
sActorProfileUnkRYAW kind:bss addr:0x02150b24
